ISSN,Titulo,Qualis,Tipo,Fonte,Periodo
N/A,International Conference on Computer Analysis of Images and Patterns (CAIP),A3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Advanced Information Systems Engineering (CAISE),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Algorithms and Discrete Applied Mathematics (CALDAM),B2,conference,CAPES Sucupira 2025,2025
N/A,International Symposium on Computing and Networking (CANDAR),B1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Cryptology and Network Security (CANS),A4,conference,CAPES Sucupira 2025,2025
N/A,Annual International Conference on Computer Science and Software Engineering (CASCON),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE Conference on Automation Science and Engineering (CASE),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Computers and their Applications (CATA),B4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Computer Aided Verification (CAV),A1,conference,CAPES Sucupira 2025,2025
N/A,Congresso Brasileiro de Automática (CBA),B3,conference,CAPES Sucupira 2025,2025
N/A,IEEE Conference on Business Informatics (CBI),A3,conference,CAPES Sucupira 2025,2025
N/A,Congresso Brasileiro de Inteligência Computacional (CBIC),B4,conference,CAPES Sucupira 2025,2025
N/A,Congresso Brasileiro de Informática em Saúde (CBIS),B4,conference,CAPES Sucupira 2025,2025
N/A,International Workshop on Content-Based Multimedia Indexing (CBMI),A4,conference,CAPES Sucupira 2025,2025
N/A,International Symposium on Computer-Based Medical Systems (CBMS),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Compiler Construction (CC),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE Conference on Computational Complexity (CCC),A3,conference,CAPES Sucupira 2025,2025
N/A,Canadian Conference on Computational Geometry (CCCG),B3,conference,CAPES Sucupira 2025,2025
N/A,Canadian Conference on Electrical and Computer Engineering (CCECE),A2,conference,CAPES Sucupira 2025,2025
N/A,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",A2,conference,CAPES Sucupira 2025,2025
N/A,Annual IEEE Consumer Communications & Networking Conference (CCNC),A2,conference,CAPES Sucupira 2025,2025
N/A,ACM Symposium on Computer and Communications Security (CCS),A1,conference,CAPES Sucupira 2025,2025
N/A,IEEE Conference on Decision and Control (CDC),A1,conference,CAPES Sucupira 2025,2025
N/A,IEEE Congress on Evolutionary Computation (CEC),A1,conference,CAPES Sucupira 2025,2025
N/A,ACM International Conference on Computing Frontiers (CF),A3,conference,CAPES Sucupira 2025,2025
N/A,Computer Graphics International Conference (CGI),B1,conference,CAPES Sucupira 2025,2025
N/A,International Symposium on Code Generation and Optimization (CGO),A2,conference,CAPES Sucupira 2025,2025
N/A,International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE),A4,conference,CAPES Sucupira 2025,2025
N/A,ACM Conference on Human Factors in Computing Systems (CHI),A1,conference,CAPES Sucupira 2025,2025
N/A,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play (CHIPlay),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Algorithms and Complexity (CIAC),B4,conference,CAPES Sucupira 2025,2025
N/A,Iberoamerican Congress on Pattern Recognition (CIARP),A4,conference,CAPES Sucupira 2025,2025
N/A,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB),A3,conference,CAPES Sucupira 2025,2025
N/A,Conferencia Iberoamericana de Software Engineering (CIbSE),B1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Intelligent Text Processing and Computational Linguistics (CICLING),B4,conference,CAPES Sucupira 2025,2025
N/A,Congresso Internacional de Design da Informação (CIDI),B4,conference,CAPES Sucupira 2025,2025
N/A,ACM International Conference on Information and Knowledge Management (CIKM),A1,conference,CAPES Sucupira 2025,2025
N/A,Iberian Latin American Congress on Computational Methods (CILAMCE),B4,conference,CAPES Sucupira 2025,2025
N/A,Iberian Conference on Information Systems and Technologies (CISTI),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Information Technology (CIT),A2,conference,CAPES Sucupira 2025,2025
N/A,Latin-Ibero-American Conference on Operations Research (CLAIO),B4,conference,CAPES Sucupira 2025,2025
N/A,Conference and Labs of the Evaluation Forum (CLEF),A4,conference,CAPES Sucupira 2025,2025
N/A,Conferencia Latinoamericana de Informática (CLEI),B2,conference,CAPES Sucupira 2025,2025
N/A,Latin American Conference on Human Computer Interaction (CLIHC),B3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Cloud Computing and Services Science (CLOSER),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Cloud Computing (CLOUD),A2,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Cloud Computing Technology and Science (CLOUDCOM),B1,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Cloud Networking (CLOUDNET),A4,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Cluster Computing (CLUSTER),A3,conference,CAPES Sucupira 2025,2025
N/A,International Symposium on Computer Music Multidisciplinary Research (CMMR),B2,conference,CAPES Sucupira 2025,2025
N/A,Congress on Numerical Methods in Engineering (CMN),B4,conference,CAPES Sucupira 2025,2025
N/A,Congresso Nacional de Matemática Aplicada e Computacional (CNMAC),B4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Network and Service Management (CNSM),A3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Combinatorial Optimization and Applications (COCOA),B2,conference,CAPES Sucupira 2025,2025
N/A,International Computing and Combinatorics Conference (COCOON),B2,conference,CAPES Sucupira 2025,2025
N/A,Conference on Games (COG),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Computational Linguistics (COLING),A1,conference,CAPES Sucupira 2025,2025
N/A,Computational Methods in Systems and Software (CoMeSySo),A3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Complex Networks and Their Applications (COMPLEXNETWORKS),A4,conference,CAPES Sucupira 2025,2025
N/A,IEEE Computer Software and Applications Conference (COMPSAC),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Communication Systems & NetworkS (COMSNETS),A2,conference,CAPES Sucupira 2025,2025
N/A,Conference on Emerging Network Experiment and Technology (CONEXT),A1,conference,CAPES Sucupira 2025,2025
N/A,Conference on Natural Language Learning (CoNLL),A1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Information Systems and Technology Management (CONTECSI),B4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Cooperative Information Systems (COOPIS),B1,conference,CAPES Sucupira 2025,2025
N/A,Workshop of Urban Computing (COURB),B4,conference,CAPES Sucupira 2025,2025
N/A,"International Conference on Integration of Constraint Programming, Artificial Intelligence, and Operations Research (CPAIOR)",A4,conference,CAPES Sucupira 2025,2025
N/A,Congresso sobre Tecnologias na Educação (CRTL+E),B3,conference,CAPES Sucupira 2025,2025
N/A,ACM Conference on Computer Supported Cooperative Work & Social Computing (CSCW),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Computer Supported Cooperative Work in Design (CSCWD),A3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Computational Science and Engineering (CSE),B1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Computer Supported Education (CSEDU),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE Computer Security Foundations Symposium (CSF),A3,conference,CAPES Sucupira 2025,2025
N/A,Cyber Security in Networking Conference (CSNet),B1,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Cyber Security and Resilience (CSR),B1,conference,CAPES Sucupira 2025,2025
N/A,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),A1,conference,CAPES Sucupira 2025,2025
N/A,IEEE Conference on Computer Vision and Pattern Recognition Companion (CVPR-E),A3,conference,CAPES Sucupira 2025,2025
N/A,Design Automation Conference (DAC),A1,conference,CAPES Sucupira 2025,2025
N/A,International Symposium on Distributed Autonomous Robotic Systems (DARS),B3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Database Systems for Advanced Applications (DASFAA),A3,conference,CAPES Sucupira 2025,2025
N/A,"International Conference on Data Science, Technology and Applications (DATA)",A1,conference,CAPES Sucupira 2025,2025
N/A,"Design, Automation and Test in Europe Conference and Exhibition (DATE)",A1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Big Data Analytics and Knowledge Discovery (DAWAK),B1,conference,CAPES Sucupira 2025,2025
N/A,IFIP WG 11.3 Conference on Data and Applications Security and Privacy (DBSEC),A4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Distributed Computing in Sensor Systems (DCOSS),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Database and Expert Systems Applications (DEXA),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems (DFTVS),A3,conference,CAPES Sucupira 2025,2025
N/A,Discrete Geometry and Mathematical Morphology (DGMM),A4,conference,CAPES Sucupira 2025,2025
N/A,Annual International Conference on Digital Government Research (DGO),A2,conference,CAPES Sucupira 2025,2025
N/A,International Workshop on Description Logics (DL),A4,conference,CAPES Sucupira 2025,2025
N/A,International DMS Conference on Visualization and Visual Languages (DMSVIVA),B4,conference,CAPES Sucupira 2025,2025
N/A,ACM Symposium on Document Engineering (DOCENG),B1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on the Design of Reliable Communication Networks (DRCN),B1,conference,CAPES Sucupira 2025,2025
N/A,IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications (DS-RT),B1,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Data Science and Advanced Analytics (DSAA),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion (DSAI),B4,conference,CAPES Sucupira 2025,2025
N/A,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools (DSD)",A3,conference,CAPES Sucupira 2025,2025
N/A,Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),A1,conference,CAPES Sucupira 2025,2025
N/A,Dataset Showcase Workshop (DSW),B4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Engineering Applications and Advances of Artificial Intelligence (EAAAI),A4,conference,CAPES Sucupira 2025,2025
N/A,Conference of the European Chapter of the Association for Computational Linguistics (EACL),A1,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Evolving and Adaptive Intelligent Systems (EAIS),B3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Evaluation and Assessment in Software Engineering (EASE),A2,conference,CAPES Sucupira 2025,2025
N/A,Euro American Conference on Telematics and Information Systems (EATIS),B2,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Technology Enhanced Learning (EC-TEL),A3,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Artificial Intelligence (ECAI),A1,conference,CAPES Sucupira 2025,2025
N/A,European Control Conference (ECC),A2,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Computer Vision (ECCV),A1,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Information Systems (ECIS),A1,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML),A1,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Mobile Robots (ECMR),A3,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Object-Oriented Programming (ECOOP),A3,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Software Architecture (ECSA),A3,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Computer Supported Cooperative Work (ECSCW),A4,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty (ECSQARU),B1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Extending Database Technology (EDBT),A3,conference,CAPES Sucupira 2025,2025
N/A,European Dependable Computing Conference (EDCC),A4,conference,CAPES Sucupira 2025,2025
N/A,EEE International Conference on Edge Computing and Communications (EDGE),A4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Educational Data Mining (EDM),A2,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Enterprise Distributed Object Computing Conference (EDOC),A3,conference,CAPES Sucupira 2025,2025
N/A,Simpósio Brasileiro de Educação em Computação (EDUCOMP),B1,conference,CAPES Sucupira 2025,2025
N/A,IEEE Global Engineering Education Conference (EDUCON),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Education and New Learning Technologies (EDULEARN),A3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Electronic Government (EGOV),A3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Electronic Government and the Information Systems Perspective (EGOVIS),B3,conference,CAPES Sucupira 2025,2025
N/A,International Workshop on Engineering Multiagent Systems (EMAS),B4,conference,CAPES Sucupira 2025,2025
N/A,Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),A1,conference,CAPES Sucupira 2025,2025
N/A,IEEE-EMBS International Conference on Biomedical and Health Informatics (EMBS),A3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Evolutionary Multi-Criterion Optimization (EMO),A4,conference,CAPES Sucupira 2025,2025
N/A,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração (ENANPAD),B4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Evaluation of Novel Approaches to Software Engineering (ENASE),A4,conference,CAPES Sucupira 2025,2025
N/A,Encontro Nacional de Inteligencia Artificial e Computacional (ENIAC),A4,conference,CAPES Sucupira 2025,2025
N/A,Portuguese Conference on Artificial Intelligence (EPIA),A4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Conceptual Modeling (ER),A3,conference,CAPES Sucupira 2025,2025
N/A,European Symposium on Algorithms (ESA),A2,conference,CAPES Sucupira 2025,2025
N/A,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning (ESANN)",A4,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on e-Science (ESCIENCE),A3,conference,CAPES Sucupira 2025,2025
N/A,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Emerging Smart Technologies and Applications (ESMARTA),B2,conference,CAPES Sucupira 2025,2025
N/A,Encontro de Teoria da Computação (ETC),B4,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),A2,conference,CAPES Sucupira 2025,2025
N/A,IEEE European Test Symposium (ETS),A4,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Networks and Communications (EuCNC),A3,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Operational Research (EURO),B4,conference,CAPES Sucupira 2025,2025
N/A,"European Conference on Combinatorics, Graph Theory and Applications (EUROCOMB)",B2,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Parallel Computing (EUROPAR),A3,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Pattern Languages of Programs (EuroPloP),B1,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Software Process Improvement (EuroSPI),A4,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Computer Systems (EUROSYS),A1,conference,CAPES Sucupira 2025,2025
N/A,Conference of the European Society for Fuzzy Logic and Technology (EUSFLAT),B2,conference,CAPES Sucupira 2025,2025
N/A,European Signal Processing Conference (EUSIPCO),A1,conference,CAPES Sucupira 2025,2025
N/A,European Workshop on Visual Information Processing (EUVIP),B1,conference,CAPES Sucupira 2025,2025
N/A,European Conference on the Applications of Evolutionary Computation (EVOAPPLICATIONS),A4,conference,CAPES Sucupira 2025,2025
N/A,European Conference on Evolutionary Computation in Combinatorial Optimization (EVOCOP),B3,conference,CAPES Sucupira 2025,2025
N/A,"ACM Conference on Fairness, Accountability, and Transparency (FACCT)",A1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Formal Aspects of Component Software (FACS),B2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Fundamental Approaches to Software Engineering (FASE),A3,conference,CAPES Sucupira 2025,2025
N/A,USENIX Conference on File and Storage Technologies (FAST),A1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Financial Cryptography and Data Security (FC),A1,conference,CAPES Sucupira 2025,2025
N/A,International Symposium on Fundamentals of Computation Theory (FCT),B4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Foundations of Digital Games (FDG),A2,conference,CAPES Sucupira 2025,2025
N/A,Federated Conference on Computer Science and Information Systems (FEDCSIS),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Automatic Face and Gesture Recognition (FGR),A1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Future Internet of Things and Cloud (FiCloud),B1,conference,CAPES Sucupira 2025,2025
N/A,IEEE Frontiers in Education Conference (FIE),A2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Forntiers of Information Technology (FIT),B1,conference,CAPES Sucupira 2025,2025
N/A,International Florida Artificial Intelligence Conference (FLAIRS),A4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Formal Methods in Computer-Aided Design (FMCAD),A3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Formal Ontology in Information Systems (FOIS),B4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Foundations of Software Science and Computation Structures (FOSSACS),A4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Formal Structures for Computation and Deduction (FSCD),A4,conference,CAPES Sucupira 2025,2025
N/A,Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering (FSE/ESEC),A1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Fundamentals of Software Engineering (FSEN),B3,conference,CAPES Sucupira 2025,2025
N/A,Future Technologies Conference (FTC),A3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Information Fusion (FUSION),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Conference on Fuzzy Systems (FUZZ),A2,conference,CAPES Sucupira 2025,2025
N/A,International Workshop on Games and Software Engineering (GAS),B3,conference,CAPES Sucupira 2025,2025
N/A,Genetic and Evolutionary Computation Conference (GECCO),A1,conference,CAPES Sucupira 2025,2025
N/A,"International Conference on Economics of Grids, Clouds, Systems and Services (GECON)",B3,conference,CAPES Sucupira 2025,2025
N/A,"IEEE Games, Entertainment, Media Conference (GEM)",B3,conference,CAPES Sucupira 2025,2025
N/A,Brazilian Symposium on GeoInformatics (GEOINFO),B2,conference,CAPES Sucupira 2025,2025
N/A,"IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services (GEOPROCESSING-IARIA)",B3,conference,CAPES Sucupira 2025,2025
N/A,Global Information Infrastructure and Networking Symposium (GIIS),B3,conference,CAPES Sucupira 2025,2025
N/A,IEEE Global Communications Conference (GLOBECOM),A1,conference,CAPES Sucupira 2025,2025
N/A,ACM International Conference on Generative Programming: Concepts and Experiences (GPCE),B1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Computer Graphics Theory and Applications (GRAPP),B1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Supporting Group Work (GROUP),A4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Hybrid Artificial Intelligence Systems (HAIS),B2,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Human-Centered Software Engineering (HCSE),B4,conference,CAPES Sucupira 2025,2025
N/A,"IEEE International Conference on E-health Networking, Application & Services (HEALTHCOM)",A3,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Health Informatics (HEALTHINF),A3,conference,CAPES Sucupira 2025,2025
N/A,Hawaii International Conference on System Sciences (HICSS),A1,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Health Informatics and Medical Systems (HIMS),B4,conference,CAPES Sucupira 2025,2025
N/A,"IEEE International Conference on High Performance Computing, Data and Analytics (HIPC)",A4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on Hybrid Intelligent Systems (HIS),A4,conference,CAPES Sucupira 2025,2025
N/A,International Conference on High Performance Computing & Simulation (HPCS),B1,conference,CAPES Sucupira 2025,2025
N/A,Haskell Symposium (HS),B3,conference,CAPES Sucupira 2025,2025
N/A,ACM Conference on Hypertext and Social Media (HT),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE RAS International Conference on Humanoid Robot (HUMANOIDS),A3,conference,CAPES Sucupira 2025,2025
N/A,IEEE International Instrumentation and Measurement Technology Conference (I2MTC),A3,conference,CAPES Sucupira 2025,2025
N/A,"IFIP International Conference on e-Business, e-Services, and e-Society (I3E)",A2,conference,CAPES Sucupira 2025,2025
N/A,Industry Applications Society Annual Meeting (IAS),B1,conference,CAPES Sucupira 2025,2025
N/A,Ibero-American Conference on Artificial Intelligence (IBERAMIA),B4,conference,CAPES Sucupira 2025,2025
N/A,Workshop Iberchip (IBERCHIP),B4,conference,CAPES Sucupira 2025,2025
